areaCode,areaName,areaType,date,covidOccupiedMVBeds,cumCasesBySpecimenDate,cumDeaths28DaysByDeathDate,hospitalCases
E92000001,England,nation,2023-12-13,,21024823,,
E92000001,England,nation,2023-12-12,,21024240,,
E92000001,England,nation,2023-12-11,,21023200,,
E92000001,England,nation,2023-12-10,,21022017,,
E92000001,England,nation,2023-12-09,,21021070,,
E92000001,England,nation,2023-12-08,,21020299,,2913
E92000001,England,nation,2023-12-07,,21019417,,2775
E92000001,England,nation,2023-12-06,,21018610,,2629
E92000001,England,nation,2023-12-05,,21017665,,2576
E92000001,England,nation,2023-12-04,,21016732,,2475
E92000001,England,nation,2023-12-03,,21015782,,2395
E92000001,England,nation,2023-12-02,,21015095,,2388
E92000001,England,nation,2023-12-01,,21014576,,2368
E92000001,England,nation,2023-11-30,,21014038,,2313
E92000001,England,nation,2023-11-29,,21013383,,2332
E92000001,England,nation,2023-11-28,,21012656,,2331
E92000001,England,nation,2023-11-27,,21011974,,2276
E92000001,England,nation,2023-11-26,,21011289,,2275
E92000001,England,nation,2023-11-25,,21010783,,2238
E92000001,England,nation,2023-11-24,,21010359,,2265
E92000001,England,nation,2023-11-23,,21009814,,2321
E92000001,England,nation,2023-11-22,,21009252,,2310
E92000001,England,nation,2023-11-21,,21008640,,2373
E92000001,England,nation,2023-11-20,,21008050,,2443
E92000001,England,nation,2023-11-19,,21007355,,2452
E92000001,England,nation,2023-11-18,,21006808,,2475
E92000001,England,nation,2023-11-17,,21006359,,2503
E92000001,England,nation,2023-11-16,,21005849,,2507
E92000001,England,nation,2023-11-15,,21005187,,2533
E92000001,England,nation,2023-11-14,,21004558,,2550
E92000001,England,nation,2023-11-13,,21003798,,2700
E92000001,England,nation,2023-11-12,,21003059,,2690
E92000001,England,nation,2023-11-11,,21002466,,2703
E92000001,England,nation,2023-11-10,,21002175,,2703
E92000001,England,nation,2023-11-09,,21001900,,2734
E92000001,England,nation,2023-11-08,,21001407,,2878
E92000001,England,nation,2023-11-07,,21000714,,2945
E92000001,England,nation,2023-11-06,,20999897,,3089
E92000001,England,nation,2023-11-05,,20999117,,3172
E92000001,England,nation,2023-11-04,,20998434,,3136
E92000001,England,nation,2023-11-03,,20997842,,3236
E92000001,England,nation,2023-11-02,,20997108,,3365
E92000001,England,nation,2023-11-01,,20996299,,3411
E92000001,England,nation,2023-10-31,,20995434,,3473
E92000001,England,nation,2023-10-30,,20994480,,3621
E92000001,England,nation,2023-10-29,,20993469,,3647
E92000001,England,nation,2023-10-28,,20992622,,3610
E92000001,England,nation,2023-10-27,,20991885,,3622
E92000001,England,nation,2023-10-26,,20990953,,3725
E92000001,England,nation,2023-10-25,,20989940,,3755
