areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByPublishDate,cumPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByVaccinationDate
E92000001,England,nation,2022-08-30,,41967784,45233342,44001821
E92000001,England,nation,2022-08-29,,41965639,45231058,44000992
E92000001,England,nation,2022-08-28,,41965282,45230519,44000853
E92000001,England,nation,2022-08-27,,41964509,45229521,44000583
E92000001,England,nation,2022-08-26,,41962238,45226829,43999744
E92000001,England,nation,2022-08-25,,41960248,45224559,43998926
E92000001,England,nation,2022-08-24,,41958354,45222231,43998242
E92000001,England,nation,2022-08-23,,41956361,45219800,43997487
E92000001,England,nation,2022-08-22,,41954271,45217989,43996671
E92000001,England,nation,2022-08-21,,41952243,45216252,43995898
E92000001,England,nation,2022-08-20,,41951236,45215091,43995527
E92000001,England,nation,2022-08-19,,41948224,45212263,43994550
E92000001,England,nation,2022-08-18,,41946212,45210229,43993681
E92000001,England,nation,2022-08-17,,41944140,45208477,43992925
E92000001,England,nation,2022-08-16,,41941957,45206546,43992084
E92000001,England,nation,2022-08-15,,41939839,45204793,43991217
E92000001,England,nation,2022-08-14,,41937819,45198210,43990480
E92000001,England,nation,2022-08-13,,41936640,45196945,43990113
E92000001,England,nation,2022-08-12,,41933660,45194070,43989159
E92000001,England,nation,2022-08-11,,41931576,45192239,43988403
E92000001,England,nation,2022-08-10,,41929263,45190382,43987636
E92000001,England,nation,2022-08-09,,41926890,45188570,43986828
E92000001,England,nation,2022-08-08,,41924543,45187025,43986076
E92000001,England,nation,2022-08-07,,41921901,45185335,43985347
E92000001,England,nation,2022-08-06,,41920215,45183695,43984880
E92000001,England,nation,2022-08-05,,41916129,45180444,43983795
E92000001,England,nation,2022-08-04,,41913167,45178268,43982957
E92000001,England,nation,2022-08-03,,41910123,45175874,43981914
E92000001,England,nation,2022-08-02,,41906905,45173642,43980965
E92000001,England,nation,2022-08-01,,41903917,45171453,43980042
E92000001,England,nation,2022-07-31,,41900688,45169460,43979221
E92000001,England,nation,2022-07-30,,41898379,45167729,43978667
E92000001,England,nation,2022-07-29,,41892734,45163749,43977274
E92000001,England,nation,2022-07-28,,41888861,45160755,43976172
E92000001,England,nation,2022-07-27,,41884424,45157966,43974985
E92000001,England,nation,2022-07-26,,41880285,45155205,43973759
E92000001,England,nation,2022-07-25,,41876064,45152631,43972621
E92000001,England,nation,2022-07-24,,41871501,45149754,43971440
E92000001,England,nation,2022-07-23,,41868600,45147463,43970820
E92000001,England,nation,2022-07-22,,41860675,45142467,43969104
E92000001,England,nation,2022-07-21,,41855676,45139397,43967943
E92000001,England,nation,2022-07-20,,41851011,45136960,43966826
E92000001,England,nation,2022-07-19,,41846935,45134956,43965794
E92000001,England,nation,2022-07-18,,41844072,45133689,43965061
E92000001,England,nation,2022-07-17,,41840937,45132368,43964271
